Name,High AP,High OM,Low NO_N,Low OM,Low pH,Low TAP,Low TN
BZRU1,0.2750595,0.4410818,0.00701,0.0903438,0.7627157,5.6343705,0.00561
BZRU2,0.4519161,0.2893853,0.00588,0.0835909,0.7434814,5.1521353,0.000575
BZRU3,0.4352401,0.4330186,0.005523,0.062852,0.9250368,4.5921037,0.00119
DHRU1,2.9523477,0.3665538,0.00117,0.0820903,7.1091835,3.2278347,0.00214
DHRU2,3.6372612,0.1940022,0.00146,0.1655249,8.2370623,2.2758516,0.00365
DHRU3,4.2349291,0.2512437,0,0.2251431,7.6858266,2.89061,0.00431
HDRU1,0.2630145,0.4913363,0.0985077,0.0482147,0.8309729,4.7555278,0.00792
HDRU2,0.2189985,0.5752595,0.0359107,0.0543774,0.8412382,3.1664126,0.00185
HDRU3,0.279736,0.770265,0.1437322,0.0635491,0.832799,5.5803576,0.00578
HEBRU1,0.5840983,0.4528587,0.00169,0.0253202,1.1013132,4.5321891,0.00222
HEBRU2,0.7352486,0.5314194,0.00629,0.037322,1.1647159,4.7333636,0.00171
HEBRU3,0.5149815,0.4366839,0.00916,0.00785,0.9480978,5.7197336,0.00173
HKRU1,0.8247296,0.1409274,0.00503,0.0817193,6.5258749,0.3824729,0.00202
HKRU2,0.8630286,0.1741945,0.00573,0.1472032,6.5342576,0.2918006,0.000461
HKRU3,0.9718748,0.121196,0.00169,0.0683878,6.8423783,0.1817696,0.000562
HLRU1,3.7816011,0.908902,0.003446,0.0252353,5.1216543,3.5295408,0.00125
HLRU2,4.3137397,1.1601908,0.00152,0.0334524,6.3937571,3.7315702,0.000544
HLRU3,5.243584,0.3719113,0,0.1445718,11.5770761,2.7798969,0.000576
HMRU1,1.7836001,0.4465495,0,0.0208035,6.7510594,4.0364406,0.000991
HMRU2,1.9540146,0.4366538,0.0059,0.0141645,6.4629236,3.9407612,0
HMRU3,1.9479089,0.5168835,0.00174,0.0201434,5.8512818,4.9794367,0.000413
HRRU1,0.1914535,0.2118668,0.0499583,0.0313865,0.65243,1.1239931,0.000487
HRRU2,0.1407345,0.1263092,0.0513579,0.0312103,0.6601579,1.1106671,0
HRRU3,0.1622788,0.2028619,0.0687595,0.027886,0.6875927,1.2246884,0
JHRU1,0.4465174,0.1657661,0.0991083,0.0867416,1.7899017,1.2386986,0.00199
JHRU2,0.392437,0.041319,0.00684,0.043019,7.1528037,0.2181314,0.0012
JHRU3,1.357146,0.0972003,0.0170761,0.1669347,7.2046159,1.9260556,0.00355
LDRU1,1.7152762,0.2074892,0.0389811,0.7541588,10.2371026,0.7723147,0.00184
LDRU2,1.8241688,0.1131999,0.0181887,0.6196121,10.6965267,0.5881024,0.00672
LDRU3,2.080945,0.1449702,0.1201728,0.4847162,11.1669723,0.5988325,0.00568
LHRU1,2.5394562,0.363408,0.00832,0.2629543,8.508385,7.8730126,0.0146294
LHRU2,4.6168016,0.0446253,0.00736,0.3688721,15.4592271,6.2314149,0.0122719
LHRU3,0.6451151,0.7158142,0.01229,0.0329977,1.444403,4.9850409,0.00179
MHRU1,1.7405971,0.1784732,0,0.0248695,9.8515506,2.1524698,0.000584
MHRU2,1.2816197,0.6005558,0.0120106,0.0160141,11.2370554,1.5583543,0.0016
MHRU3,1.414335,0.3170361,0.0181198,0.0211398,7.438137,2.8075412,0.000997
NJRU1,1.8125425,0.5948475,0.00241,0.0250027,7.0906071,3.7970068,0
NJRU2,1.7246819,0.6014562,0,0.0155147,8.3380273,4.2022473,0
NJRU3,1.9620874,0.5758808,0,0.0385336,6.7746839,3.8701049,0.00224
PJRU1,0.7500235,0.2539162,0.00228,0.0444075,0.9691565,5.7223745,0.0466704
PJRU2,0.5986486,0.0733773,0.0037,0.0178864,0.7477937,4.0860932,0.0887426
PJRU3,0.5247332,0.0867074,0,0.18976,0.9646013,3.4528427,0.1012843
QHDRU1,1.1483666,0.2584063,0.00697,0.1226055,3.1406986,12.0997845,0.00742
QHDRU2,1.2161253,0.3248691,0.0191095,0.0735669,2.0310872,5.6338111,0.00123
QHDRU3,1.8668346,0.359826,0.00793,0.1877626,3.8291925,6.0434664,0.00342
QJRU1,0.2642365,0.2742733,0.02455,0.1285233,1.1734892,2.5074757,0.0044
QJRU2,0.1755993,0.1507926,0.0309318,0.2126712,1.159843,1.6741639,0.00301
QJRU3,0.2811755,0.2959032,0.0187331,0.1036928,1.1606907,1.9212392,0.00411
QYRU1,2.5409837,0.0823278,0.00408,0.4368934,13.8094624,0.3640996,0.00844
QYRU2,2.016171,0.1572814,0.00516,0.2481101,13.4178648,0.3697249,0.027073
QYRU3,1.4504183,0.0845268,0.0239931,0.2250202,11.1951604,0.6353904,0.00681
SPRU1,5.4893693,0.152746,0.00102,0.145344,8.3672888,7.85958,0.00276
SPRU2,7.2631373,0.0805068,0,0.2582338,11.0037329,4.1205531,0.0029
SPRU3,3.724567,0.2865531,0.0142422,0.0969353,6.3967978,7.5135057,0.00177
SXRU1,3.1409142,0.0424927,0.00643,0.0912021,11.7994129,0.1707409,0.00866
SXRU2,1.7946824,0.00836,0.00224,0.1438576,11.3146561,0.1912392,0
SXRU3,1.7979483,0.0150272,0.00465,0.0501179,9.6777905,0.2647389,0.000665
SYRU1,0.8198145,0.0660698,0.00285,0.2769968,7.1793455,0.1539689,0
SYRU2,2.3220699,0.263218,0.00354,0.4866769,6.0294345,0.8448988,0.000665
